BLOOD AND IMMUNE SYSTEM 1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
RESPIRATION I,,,,,,,,,,,,,,,,,,
Uygulama adı,Uygulama yeri,"1/1
24 Ekim 2025 Cuma
10:30-12:20","1/2
3 Kasım 2025 Pazartesi
10:30-12:20",,,,,,,,,,,,,,,
Fizyoloji 1,Fizyoloji Pratik salonu,i1,i2,,,,,,,,,,,,,,,
Fizyoloji 2,AMFİ,"TÜM GRUPLAR
23 EKİM 2025 
Perşembe
08.30-10.20",,,,,,,,,,,,,,,,
Histoloji ,Histoloji Pratik salonu,i2,i1,,,,,,,,,,,,,,,
Dikey Koridor II,Web Sitesinde Yayınlanacak,*,*,,,,,,,,,,,,,,,
Anatomi (6),Anabilim Dalı,23.10.2024,30.10.2025,04.11.2025,06.11.2025,11.11.2025,13.11.2025,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Fizyoloji-1,,,,,,,,,,,,,,,,,,
İnsanda gögüs kafesi ve solunum sistemi muayenesi ,,,,,,,,,,,,,,,,,,
İnsanda solunum sayısı ve değişiklikleri ,,,,,,,,,,,,,,,,,,
Spirometrede çeşitli solunum hacim ve kapasitelerinin ölçümü,,,,,,,,,,,,,,,,,,
Fizyoloji-2,,,,,,,,,,,,,,,,,,
Deney hayvanlarında dolaşım ve solunum faaliyetlerinin kaydı ,,,,,,,,,,,,,,,,,,
Çeşitli faktörlerin solunum ve dolaşım faaliyetine etkileri ,,,,,,,,,,,,,,,,,,
Kurbağa dilinde kapiller dolaşım,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Histoloji,,,,,,,,,,,,,,,,,,
Nefes Borusu (H&E),,,,,,,,,,,,,,,,,,
Akciğer - Genel (H&E) ,,,,,,,,,,,,,,,,,,
Akciğer (Masson) ,,,,,,,,,,,,,,,,,,
Akciğer (Safranelin),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Beceri: ,,,,,,,,,,,,,,,,,,
"Dönem 2 Dikey Koridor II Dikey Koridor IIUygulamaları; Aydınlatılmış Onam Alma, Hastane Enfeksiyonlarının Kontrolü, Oksijen Maskesi ,Ekip Olma ve Simüle Hasta Uygulamalarından oluşmaktadır. Tabloda * ile belirtilen tarihlerde uygulama yapılacaktır. Uygulama grupları ve uygulama salonları ayrı bir tablo ile duyurulacaktır.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
DIGESTION I,,,,,,,,,,,,,,,,,,
Uygulama adı,Uygulama yeri,"1/1
6 Kasım 2025 Perşembe
10:30-12:20","1/1
10 Kasım 2025 Pazartesi
13:30-15:20",,,,,,,,,,,,,,,
Histoloji ,Histoloji Pratik salonu,i1,i2,,,,,,,,,,,,,,,
,,"2/1
14 Kasım 2025 Cuma
14:00-15:50","2/2
20 Kasım 2025 Perşembe
10:30-12:20",,,,,,,,,,,,,,,
Histoloji ,Histoloji Pratik salonu,i1,i2,,,,,,,,,,,,,,,
Dikey Koridor II,Web Sitesinde Yayınlanacak,*,*,,,,,,,,,,,,,,,
Anatomi (11),Anabilim Dalı,18.11.2025,20.11.2025,25.11.2025,27.11.2025,02.12.2025,04.12.2025,09.12.2025,11.12.2025,16.12.2025,18.12.2025,23.12.2025,,,,,,
,,,,,,,,,,,,,,,,,,
Histoloji-1 ,,,,,,,,,,,,,,,,,,
Diş gelişimi (Azan) ,,,,,,,,,,,,,,,,,,
Diş – Dekalsine (H&E),,,,,,,,,,,,,,,,,,
Diş kökü (Tionin-pikrik asit) ,,,,,,,,,,,,,,,,,,
Dil – Papilla Foliata (H&E) ,,,,,,,,,,,,,,,,,,
Dudak (H&E) ,,,,,,,,,,,,,,,,,,
"Dil altı tükürük bezi, Gld. Sublingualis (H&E)",,,,,,,,,,,,,,,,,,
Mide – Fundus (H&E) ,,,,,,,,,,,,,,,,,,
Pilor-duodenum geçişi (PAS+Haemalun) ,,,,,,,,,,,,,,,,,,
Özafagus-kardia geçişi (PAS+HAemalun) ,,,,,,,,,,,,,,,,,,
"İnce bağırsak - Duodenum, Jejenum, İleum (H&E) ",,,,,,,,,,,,,,,,,,
Kalın bağırsak (H&E) ,,,,,,,,,,,,,,,,,,
Karaciğer + Safra kesesi (H&E),,,,,,,,,,,,,,,,,,
Karaciğer – Safra kapilerleri (Alkali fosfataz),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Beceri: ,,,,,,,,,,,,,,,,,,
"Dönem 2 Dikey Koridor II Dikey Koridor IIUygulamaları; Aydınlatılmış Onam Alma, Hastane Enfeksiyonlarının Kontrolü, Oksijen Maskesi ,Ekip Olma ve Simüle Hasta Uygulamalarından oluşmaktadır. Tabloda * ile belirtilen tarihlerde uygulama yapılacaktır. Uygulama grupları ve uygulama salonları ayrı bir tablo ile duyurulacaktır.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
METABOLISM,,,,,,,,,,,,,,,,,,
Uygulama adı,Uygulama yeri,"1/1
10 Aralık 2025 Çarşamba
10:30-12:20","1/1
12 Aralık 2025 Cuma
08:30-10:20","2/1
15 Aralık 2025 Pazartesi
08:30-10:20","2/1
15 Aralık 2025 Pazartesi
10:30-12:20","
23Aralık 2025 Salı
10:30-12:20",,,,,,,,,,,,
Biyokimya ,Biyokimya Pratik salonu,i1,i2,,,TELAFİ,,,,,,,,,,,,
Biyokimya Sınavı,Biyokimya Pratik salonu,,,i1,i2,,,,,,,,,,,,,
Beceri,Web Sitesinde Yayınlanacak,*,*,*,*,,,,,,,,,,,,,
PDÖ,Web Sitesinde Yayınlanacak,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Biyokimya ,,,,,,,,,,,,,,,,,,
Kanda ve idrarda glikoz düzeylerinin incelenmesi,,,,,,,,,,,,,,,,,,
Kanda ve idrarda lipit ve protein düzeylerinin incelenmesi ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Beceri: ,,,,,,,,,,,,,,,,,,
"Dönem 2 Dikey Koridor II Dikey Koridor IIUygulamaları; Aydınlatılmış Onam Alma, Hastane Enfeksiyonlarının Kontrolü, Oksijen Maskesi ,Ekip Olma ve Simüle Hasta Uygulamalarından oluşmaktadır. Tabloda * ile belirtilen tarihlerde uygulama yapılacaktır. Uygulama grupları ve uygulama salonları ayrı bir tablo ile duyurulacaktır.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
UROGENITAL AND REPRODUCTIVE I,,,,,,,,,,,,,,,,,,
Uygulama adı,Uygulama yeri,"30 Ocak 2026 Cuma
14:00-15:50","2 Şubat 2026 Pazartesi
13:30-15:20","4 Şubat 2026 Çarşamba
13:30-15:20","6 Şubat 2026 Cuma
10:30-12:20","9 Şubat 2026 Pazartesi
13:30-15:20","9 Şubat 2026 Pazartesi
13:30-15:20",,,,,,,,,,,
Biyokimya (1),Biyokimya Pratik salonu,,i1,i2,,,,,,,,,,,,,,
Biyokimya Sınav,Biyokimya Pratik salonu,,,,,i1,i2,,,,,,,,,,,
Histoloji (1),Histoloji Pratik salonu,i1,,,i2,,,,,,,,,,,,,
Beceri,Web Sitesinde Yayınlanacak,*,*,*,*,*,*,,,,,,,,,,,
Anatomi (6),Anabilim Dalı,27.01.2026,29.01.2026,03.02.2026,05.02.2026,10.02.2026,12.02.2026,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Biyokimya ,,,,,,,,,,,,,,,,,,
"İdrarın fiziksel özelliklerinin incelenmesi, böbrek fonksiyon testleri ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Histoloji-1,,,,,,,,,,,,,,,,,,
Böbrek (H&E) ,,,,,,,,,,,,,,,,,,
İdrar kesesi (H&E),,,,,,,,,,,,,,,,,,
"Yumurtalık, Tuba uterina, Uterus (H&E)",,,,,,,,,,,,,,,,,,
Erişkin testis (Van Gieson),,,,,,,,,,,,,,,,,,
Ductuli efferentes – Ductus epididimis (H&E),,,,,,,,,,,,,,,,,,
Ductus deferens (Van Gieson),,,,,,,,,,,,,,,,,,
Gld. Vesiculosa (H&E),,,,,,,,,,,,,,,,,,
Prostat (H&E),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Beceri: ,,,,,,,,,,,,,,,,,,
"Dönem 2 Dikey Koridor II Dikey Koridor IIUygulamaları; Aydınlatılmış Onam Alma, Hastane Enfeksiyonlarının Kontrolü, Oksijen Maskesi ,Ekip Olma ve Simüle Hasta Uygulamalarından oluşmaktadır. Tabloda * ile belirtilen tarihlerde uygulama yapılacaktır. Uygulama grupları ve uygulama salonları ayrı bir tablo ile duyurulacaktır.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ENDOCRINE I,,,,,,,,,,,,,,,,,,
Uygulama adı,Uygulama ,"1/1
27 Şubat 2026 Cuma
14:00-15:50","1/2
2 Mart 2026
Pazartesi
13:30-15:20",,,,,,,,,,,,,,,
Histoloji ,Histoloji Pratik salonu,i1,i2,,,,,,,,,,,,,,,
Beceri,Web Sitesinde Yayınlanacak,*,*,,,,,,,,,,,,,,,
PDÖ,Web Sitesinde Yayınlanacak,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Histoloji,,,,,,,,,,,,,,,,,,
Hipofiz (H&E) ,,,,,,,,,,,,,,,,,,
Epifiz (H&E),,,,,,,,,,,,,,,,,,
Tiroid+Paratiroid (H&E),,,,,,,,,,,,,,,,,,
"Böbrek üstü bezi, Gld. Suprarenalis (H&E)",,,,,,,,,,,,,,,,,,
Pankreas – Langerhans adacıkları (H&E),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Beceri: ,,,,,,,,,,,,,,,,,,
"Dönem 2 Dikey Koridor II Dikey Koridor IIUygulamaları; Aydınlatılmış Onam Alma, Hastane Enfeksiyonlarının Kontrolü, Oksijen Maskesi ,Ekip Olma ve Simüle Hasta Uygulamalarından oluşmaktadır. Tabloda * ile belirtilen tarihlerde uygulama yapılacaktır. Uygulama grupları ve uygulama salonları ayrı bir tablo ile duyurulacaktır.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
NERVE AND SENSE I,,,,,,,,,,,,,,,,,,
Uygulama Adı,Uygulama Yeri,"1/1
16 Mart 2026 Pazartesi
13:30-15:20","1/1
17 Mart 2026 Salı
10:30-12:20","1/2
23 Mart 2026 Pazartesi
13:30-15:20","1/4
31 Mart 2026 Salı
08:30-10:20","1/4
3 Nisan 2026 Cuma
14:00-15:50","2/5
16 Nisan 2026
Perşembe
10:30-12:20","3/8
21 Nisan 2026 Salı
10:30-12:20",,,,,,,,,,
Fizyoloji ,Fizyoloji Pratik salonu ,i1,,i1,i2,i2,i1,i2,,,,,,,,,,
Fizyoloji ,AMFİ,"TÜM GRUPLAR
17 Nisan 2026 Cuma
10:30 - 12:20",,,,,,,,,,,,,,,,
Histoloji ,Histoloji Pratik salonu,i2,i1,i2,,i1,,,,,,,,,,,,
Dikey Koridor II,Web Sitesinde Yayınlanacak,* , *, *, *,,,,,,,,,,,,,
Anatomi (17),Anabilim Dalı,17.02.2026,19.02.2026,24.02.2026,26.02.2026,03.03.2026,10.03.2026,12.03.2026,17.03.2026,24.03.2026,26.03.2026,31.03.2026,02.04.2026,07.04.2026,09.04.2026,14.04.2026,21.04.2026,28.04.2026
,,,,,,,,,,,,,,,,,,
Fizyoloji-1,,,,,,,,,,,,,,,,,,
Göz modelinde görüntünün incelenmesi,,,,,,,,,,,,,,,,,,
İnsanda göz dibinin incelenmesi ,,,,,,,,,,,,,,,,,,
Purkinje damar figürünün araştırılması,,,,,,,,,,,,,,,,,,
Görme alanının incelenmesi ,,,,,,,,,,,,,,,,,,
Fizyoloji-2 ,,,,,,,,,,,,,,,,,,
Görme keskinliği ,,,,,,,,,,,,,,,,,,
Hacimli görme ,,,,,,,,,,,,,,,,,,
Renk körlüğünün araştırılması ,,,,,,,,,,,,,,,,,,
Orta kulak fonksiyonlarının araştırılması ,,,,,,,,,,,,,,,,,,
Fizyoloji-3,,,,,,,,,,,,,,,,,,
İnsanda bazı reflekslerin araştırılması ,,,,,,,,,,,,,,,,,,
İnsanda reaksiyon zamanının saptanması ,,,,,,,,,,,,,,,,,,
İnsanda tahmini reaksiyon zamanının saptanması ,,,,,,,,,,,,,,,,,,
"Sinirde Şiddet-Süre Eğrisinin Çizilmesi, Reobaz,  Kronaksi Tayini ",,,,,,,,,,,,,,,,,,
Fizyoloji-4,,,,,,,,,,,,,,,,,,
"İnsanda elektroensefalogram ve uyarılmış potansiyel kayıpları (EEG, GUP, İUP)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Histoloji-1,,,,,,,,,,,,,,,,,,
"Cerebrum, beyin – Piramidal hücreler (Cajal)",,,,,,,,,,,,,,,,,,
Astrositler (Golgi) ,,,,,,,,,,,,,,,,,,
Plexus chorioideus (H&E),,,,,,,,,,,,,,,,,,
"Cerebellum, beyincik (H&E) ",,,,,,,,,,,,,,,,,,
"Omurilik, Medulla spinalis (Kresylechtviolett) ",,,,,,,,,,,,,,,,,,
Spinal ganglion (Kresylechtviolett),,,,,,,,,,,,,,,,,,
Histoloji-2,,,,,,,,,,,,,,,,,,
Periferik sinir (Masson),,,,,,,,,,,,,,,,,,
Sinir lifleri (Osmik asit),,,,,,,,,,,,,,,,,,
Vater Pacini (H&E),,,,,,,,,,,,,,,,,,
Göz (H&E),,,,,,,,,,,,,,,,,,
Tat Goncaları (H&E),,,,,,,,,,,,,,,,,,
Kılsız Deri (Van Gieson),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Beceri: ,,,,,,,,,,,,,,,,,,
"Dönem 2 Dikey Koridor II Dikey Koridor IIUygulamaları; Aydınlatılmış Onam Alma, Hastane Enfeksiyonlarının Kontrolü, Oksijen Maskesi ,Ekip Olma ve Simüle Hasta Uygulamalarından oluşmaktadır. Tabloda * ile belirtilen tarihlerde uygulama yapılacaktır. Uygulama grupları ve uygulama salonları ayrı bir tablo ile duyurulacaktır.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
PATHOLOGY AND INTRODUCTION TO CLINICS,,,,,,,,,,,,,,,,,,
Uygulama Adı,Uygulama Yeri,"7 Mayıs 2026 Perşembe
08:30-10:20","12 Mayıs 2026 Salı
10:30-12:20","14 Mayıs 2026 Perşembe
08:30-10:20","15 Mayıs 2026 Cuma
10:30-12:20","15 Mayıs 2026 Cuma
14:00-15:50",18 Mayıs 2026 Pazartesi 13:30-15:20,"20 Mayıs 2026 Çarşamba
08:30-10:20","22 Mayıs 2026 Cuma
10:30-12:20",,,,,,,,,
Patoloji (2),Patoloji Pratik salonu,i1+i2,,,,,i1+i2,,,,,,,,,,,
Mikrobiyoloji (3),Mikrobiyoloji Pratik salonu,,i1,i2,i2,i1,,i1,i2,,,,,,,,,
Dikey Koridor II,Web Sitesinde Yayınlanacak,*,*,*,*,*,*,*,*,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Patoloji-1,,,,,,,,,,,,,,,,,,
Tümör dışı lezyonlar.,,,,,,,,,,,,,,,,,,
Patoloji-2,,,,,,,,,,,,,,,,,,
Benign ve Malign tümörler.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Tıbbi Mikrobiyoloji-1 ,,,,,,,,,,,,,,,,,,
Gram-pozitif bakterilerin izolasyonu ve tanısı,,,,,,,,,,,,,,,,,,
1. Kültür koşulları,,,,,,,,,,,,,,,,,,
2. Mikroskobik inceleme,,,,,,,,,,,,,,,,,,
3. Biyokimyasal özelliklerin incelenmesi,,,,,,,,,,,,,,,,,,
4. Antijen yapısının incelenmesi,,,,,,,,,,,,,,,,,,
Tıbbi Mikrobiyoloji-2,,,,,,,,,,,,,,,,,,
Gram-negatif bakterilerin izolasyonu ve tanısı,,,,,,,,,,,,,,,,,,
1. Kültür koşulları,,,,,,,,,,,,,,,,,,
2. Mikroskobik inceleme,,,,,,,,,,,,,,,,,,
3. Biyokimyasal özelliklerin incelenmesi,,,,,,,,,,,,,,,,,,
4. Antijen yapısının incelenmesi,,,,,,,,,,,,,,,,,,
Tıbbi Mikrobiyoloji-3,,,,,,,,,,,,,,,,,,
Hastane infeksiyonlarının kontrolünde mikrobiyoloji laboratuvarının etkinlikleri,,,,,,,,,,,,,,,,,,
1. Laboratuvarın epidemiyolojik değerlendirmelerdeki rolü,,,,,,,,,,,,,,,,,,
2. Laboratuvarın doğrudan infeksiyon kontrolüne ilişkin uygulamaları,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Beceri: ,,,,,,,,,,,,,,,,,,
"Dönem 2 Dikey Koridor II Dikey Koridor IIUygulamaları; Aydınlatılmış Onam Alma, Hastane Enfeksiyonlarının Kontrolü, Oksijen Maskesi ,Ekip Olma ve Simüle Hasta Uygulamalarından oluşmaktadır. Tabloda * ile belirtilen tarihlerde uygulama yapılacaktır. Uygulama grupları ve uygulama salonları ayrı bir tablo ile duyurulacaktır.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Dikey Koridor II Laboratuarı Uygulama Yerleri,,,,,,,,,,,,,,,,,,
Uygulama adı,,Uygulama Yeri,,Telefon,,,,,,,,,,,,,,
1) Hastane Enfeksiyonlarının Kontrolü,,Web Sitesinde Yayınlanacak,,32336,,,,,,,,,,,,,,
2) Aydınlatılmış Onam Alma,,Web Sitesinde Yayınlanacak,,32337,,,,,,,,,,,,,,
3) Oksijen Verme,,Web Sitesinde Yayınlanacak,,32338,,,,,,,,,,,,,,
4) Simüle Hasta,,Web Sitesinde Yayınlanacak,,32339,,,,,,,,,,,,,,
5) Ekip Olmak,,Web Sitesinde Yayınlanacak,,32340,,,,,,,,,,,,,,
