,,,,,,,,,,,,,,,,,,
KAN LENFOİD 1,,,,,,,,,,,,,,,,,,
SOLUNUM-1,,,,,,,,,,,,,,,,,,
Uygulama adı,Uygulama yeri,"1/1
22 Ekim 2025 Çarşamba
08:30-10:20","1/2
24 Ekim 2025
 Cuma
08:30-10:20","1/3
27 Ekim 2025 Pazartesi
08:30-10:20","1/4
27 Ekim 2025 Pazartesi
13:30-15:20","1/5
28 Ekim 2025
 Salı
8:30-10:20","1/6
30 Ekim 2025
Perşembe
08:30-10:20","1/7
31 Ekim 2025
  Cuma
08:30-10:20","1/8
4 Kasım 2025
 Salı
08:30-10:20",,,,,,,,,
Fizyoloji 1,Fizyoloji Pratik salonu,H,G,F,E,D,C,B,A,,,,,,,,,
Histoloji ,Histoloji Pratik salonu,A,B,C,D,E,F,G,H,,,,,,,,,
Fizyoloji 2,AMFİ,"TÜM GRUPLAR
23 EKİM 2025 Perşembe
08.30-10.20",,,,,,,,,,,,,,,,
Dikey Koridor II,Web Sitesinde Yayınlanacak,*,*,*,*,*,*,,,,,,,,,,,
Anatomi 6,Anabilim Dalı,23.10.2025,30.10.2025,04.11.2025,06.11.2025,11.11.2025,13.11.2025,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Fizyoloji-1,,,,,,,,,,,,,,,,,,
İnsanda gögüs kafesi ve solunum sistemi muayenesi ,,,,,,,,,,,,,,,,,,
İnsanda solunum sayısı ve değişiklikleri ,,,,,,,,,,,,,,,,,,
Spirometrede çeşitli solunum hacim ve kapasitelerinin ölçümü,,,,,,,,,,,,,,,,,,
Fizyoloji-2,,,,,,,,,,,,,,,,,,
Deney hayvanlarında dolaşım ve solunum faaliyetlerinin kaydı ,,,,,,,,,,,,,,,,,,
Çeşitli faktörlerin solunum ve dolaşım faaliyetine etkileri ,,,,,,,,,,,,,,,,,,
Kurbağa dilinde kapiller dolaşım,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Histoloji,,,,,,,,,,,,,,,,,,
Nefes Borusu (H&E),,,,,,,,,,,,,,,,,,
Akciğer - Genel (H&E) ,,,,,,,,,,,,,,,,,,
Akciğer (Masson) ,,,,,,,,,,,,,,,,,,
Akciğer (Safranelin),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Beceri: ,,,,,,,,,,,,,,,,,,
"Dönem 2 Dikey Koridor II Dikey Koridor IIUygulamaları; Aydınlatılmış Onam Alma, Hastane Enfeksiyonlarının Kontrolü, Oksijen Maskesi ,Ekip Olma ve Simüle Hasta Uygulamalarından oluşmaktadır. Tabloda * ile belirtilen tarihlerde uygulama yapılacaktır. Uygulama grupları ve uygulama salonları ayrı bir tablo ile duyurulacaktır.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SİNDİRİM-1,,,,,,,,,,,,,,,,,,
Uygulama adı,Uygulama yeri,"1/1
10 Kasım 2025
Pazartesi
8:30-10:20","1/2
10 Kasım 2025
Pazartesi
10:30-12:20","1/3
11 Kasım 2025 
Salı
08:30-10:20","1/4
12 Kasım 2025 Çarşamba
08:30-10:20","1/5
13 Kasım 2025  Perşembe
08:30-10:20","1/6
14 Kasım 2025  Cuma
08:30-10:20","1/7
17 Kasım 2025 Pazartesi
08:30-10:20","1/8
17 Kasım 2025 Pazartesi
10:30-12:20",,,,,,,,,
Histoloji ,Histoloji Pratik salonu,A,B,C,D,E,F,G,H,,,,,,,,,
Uygulama adı,Uygulama yeri,"2/1
19 Kasım 2025 Çarşamba
08:30-10:20","2/2
20 Kasım 2025 
Perşembe
08:30-10:20","2/3
24 Kasım 2025 Pazartesi
08:30-10:20","2/4
25 Kasım 2025 
Salı
08:30-10:20","2/5
26 Kasım 2025  Çarşamba
08:30-10:20","2/6
27 Kasım 2025  Perşembe
08:30-10:20","2/7
28 Kasım 2025 
 Cuma
14:00-15:20","2/8
1 Aralık 2025 
Pazartesi
08:30-10:20",,,,,,,,,
Histoloji ,Histoloji Pratik salonu,H,G,F,E,D,C,B,A,,,,,,,,,
Dikey Koridor II,Web Sitesinde Yayınlanacak,*,*,*,*,*,*,*,*,,,,,,,,,
Anatomi 11,Anabilim Dalı,18.11.2025,20.11.2025,25.11.2025,27.11.2025,02.12.2025,04.12.2025,09.12.2025,11.12.2025,16.12.2025,18.12.2025,23.12.2025,,,,,,
,,,,,,,,,,,,,,,,,,
Histoloji-1 ,,,,,,,,,,,,,,,,,,
Diş gelişimi (Azan) ,,,,,,,,,,,,,,,,,,
Diş – Dekalsine (H&E),,,,,,,,,,,,,,,,,,
Diş kökü (Tionin-pikrik asit) ,,,,,,,,,,,,,,,,,,
Dil – Papilla Foliata (H&E) ,,,,,,,,,,,,,,,,,,
Dudak (H&E) ,,,,,,,,,,,,,,,,,,
"Dil altı tükürük bezi, Gld. Sublingualis (H&E)",,,,,,,,,,,,,,,,,,
Mide – Fundus (H&E) ,,,,,,,,,,,,,,,,,,
Pilor-duodenum geçişi (PAS+Haemalun) ,,,,,,,,,,,,,,,,,,
Özafagus-kardia geçişi (PAS+HAemalun) ,,,,,,,,,,,,,,,,,,
"İnce bağırsak - Duodenum, Jejenum, İleum (H&E) ",,,,,,,,,,,,,,,,,,
Kalın bağırsak (H&E) ,,,,,,,,,,,,,,,,,,
Karaciğer + Safra kesesi (H&E),,,,,,,,,,,,,,,,,,
Karaciğer – Safra kapilerleri (Alkali fosfataz),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Beceri: ,,,,,,,,,,,,,,,,,,
"Dönem 2 Dikey Koridor II Dikey Koridor IIUygulamaları; Aydınlatılmış Onam Alma, Hastane Enfeksiyonlarının Kontrolü, Oksijen Maskesi ,Ekip Olma ve Simüle Hasta Uygulamalarından oluşmaktadır. Tabloda * ile belirtilen tarihlerde uygulama yapılacaktır. Uygulama grupları ve uygulama salonları ayrı bir tablo ile duyurulacaktır.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
METABOLİZMA-1,,,,,,,,,,,,,,,,,,
Uygulama adı,Uygulama yeri,"1/1
2 Aralık 2025
Salı 
8:30-10:20","1/2
3 Aralık 2025 
Çarşamba
10:30-12:20","1/3
4 Aralık 2025
 Perşembe
08:30-10:20","1/4
5 Aralık 2025  
Cuma
08:30-10:20","1/5
8 Aralık 2025 Pazartesi
08:30-10:20","1/6
8 Aralık 2025 Pazartesi
10:30-12:20","1/7
9 Aralık 2025  
Salı
08:30-10:20","1/8
10 Aralık 2025
Çarşamba
08:30-10:20",,,,,,,,,
Biyokimya ,Biyokimya Pratik salonu,A,B,C,D,E,F,G,H,,,,,,,,,
Beceri,Web Sitesinde Yayınlanacak,*,*,*,*,*,*,*,*,,,,,,,,,
PDÖ,Web Sitesinde Yayınlanacak,,,,,,,,,,,,,,,,,
Uygulama adı,Uygulama yeri,"2/1
11 Aralık 2025
Perşembe
08:30-10:20","2/2
17 Aralık 2025 
Çarşamba
08:30-10:20","2/3
18 Aralık 2025
Perşembe
08:30-10:20","2/4
19 Aralık 2025 
Cuma
08:30-10:20","2/5
19 Aralık 2025 
Cuma
14:00-15:50","2/6
22 Aralık 2025 Pazartesi
08:30-10:20","2/7
23 Aralık 2025 Salı
08:30-10:20","2/8
24 Aralık 2024 Çarşamba
10:30-12:20","
22 Aralık 2025 Pazartesi
13:30-15:20","
23 Aralık 2025 Salı
10:30-12:20",,,,,,,
Biyokimya Sınav,Biyokimya Pratik salonu,H,D,G,E,A,F,B,C,UYGULAMA TELAFİ,"UYGULAMA TELAFİ
SINAVI",,,,,,,
Beceri,Web Sitesinde Yayınlanacak,*,*,*,*,*,*,*,*,,,,,,,,,
PDÖ,Web Sitesinde Yayınlanacak,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Biyokimya ,,,,,,,,,,,,,,,,,,
Kanda ve idrarda glikoz düzeylerinin incelenmesi,,,,,,,,,,,,,,,,,,
Kanda ve idrarda lipit ve protein düzeylerinin incelenmesi ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Beceri: ,,,,,,,,,,,,,,,,,,
"Dönem 2 Dikey Koridor II Dikey Koridor IIUygulamaları; Aydınlatılmış Onam Alma, Hastane Enfeksiyonlarının Kontrolü, Oksijen Maskesi ,Ekip Olma ve Simüle Hasta Uygulamalarından oluşmaktadır. Tabloda * ile belirtilen tarihlerde uygulama yapılacaktır. Uygulama grupları ve uygulama salonları ayrı bir tablo ile duyurulacaktır.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ÜROGENİTAL VE ÜREME-1,,,,,,,,,,,,,,,,,,
Uygulama adı,Uygulama yeri,"1/1
30 Ocak 2026 Cuma
08:30-10:20","1/2
2 Şubat 2026
 Pazartesi
08:30-10:20","1/3
3 Şubat 2025
 Salı
08:30-10:20","1/4
4 Şubat 2026 Çarşamba
08:30-10:20","1/5
5 Şubat 2026 
Perşembe
08:30-10:20","1/6
6 Şubat 2026
 Cuma
08:30-10:20","1/7
09 Şubat 2026
 Pazartesi
08:30-10:20","1/8
10 Şubat 2026
 Salı
08:30-10:20","
13 Şubat 2026
 Cuma
14.00-15.50","
16 Şubat 2026
Pazartesi
8.30-10.20",,,,,,,
Biyokimya (1),Biyokimya Pratik salonu,F + B,G + C,D+H,A + E,F + B,G + C,D+H,A + E,TELAFİ,SINAV,,,,,,,
Histoloji (1),Histoloji Pratik salonu,G,A,B,C,D,E,F,H,,,,,,,,,
Beceri,Web Sitesinde Yayınlanacak,*,*,*,*,*,*,*,*,,,,,,,,,
Anatomi (6),Anabilim Dalı,27.01.2026,29.01.2026,03.02.2026,05.02.2026,10.02.2026,12.02.2026,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Biyokimya ,,,,,,,,,,,,,,,,,,
"İdrarın fiziksel özelliklerinin incelenmesi, böbrek fonksiyon testleri ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Histoloji-1,,,,,,,,,,,,,,,,,,
Böbrek (H&E) ,,,,,,,,,,,,,,,,,,
İdrar kesesi (H&E),,,,,,,,,,,,,,,,,,
"Yumurtalık, Tuba uterina, Uterus (H&E)",,,,,,,,,,,,,,,,,,
Erişkin testis (Van Gieson),,,,,,,,,,,,,,,,,,
Ductuli efferentes – Ductus epididimis (H&E),,,,,,,,,,,,,,,,,,
Ductus deferens (Van Gieson),,,,,,,,,,,,,,,,,,
Gld. Vesiculosa (H&E),,,,,,,,,,,,,,,,,,
Prostat (H&E),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Beceri: ,,,,,,,,,,,,,,,,,,
"Dönem 2 Dikey Koridor II Dikey Koridor IIUygulamaları; Aydınlatılmış Onam Alma, Hastane Enfeksiyonlarının Kontrolü, Oksijen Maskesi ,Ekip Olma ve Simüle Hasta Uygulamalarından oluşmaktadır. Tabloda * ile belirtilen tarihlerde uygulama yapılacaktır. Uygulama grupları ve uygulama salonları ayrı bir tablo ile duyurulacaktır.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
ENDOKRİN-1,,,,,,,,,,,,,,,,,,
Uygulama adı,Uygulama ,"1/1
23 Şubat 2026 Pazartesi
08:30-10:20","1/2
24 Şubat 2026
 Salı
08:30-10:20","1/3
25 Şubat 2026 Çarşamba
08:30-10:20","1/4
26 Şubat 2025 Perşembe
08:30-10:20","1/5
27 Şubat 2025 
Cuma
08:30-10:20","1/6
2 Mart 2026
Pazartesi
08:30-10:20","1/7
3 Mart 2026
 Salı
08:30-10:20","1/8
4 Mart 2026
Çarşamba
8:30-10:20",,,,,,,,,
Histoloji ,Histoloji Pratik salonu,A,B,C,D,E,F,G,H,,,,,,,,,
PDÖ,Web Sitesinde Yayınlanacak,,,,,,,,,,,,,,,,,
Beceri,Web Sitesinde Yayınlanacak,*,*,*,*,*,*,*,*,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Histoloji,,,,,,,,,,,,,,,,,,
Hipofiz (H&E) ,,,,,,,,,,,,,,,,,,
Epifiz (H&E),,,,,,,,,,,,,,,,,,
Tiroid+Paratiroid (H&E),,,,,,,,,,,,,,,,,,
"Böbrek üstü bezi, Gld. Suprarenalis (H&E)",,,,,,,,,,,,,,,,,,
Pankreas – Langerhans adacıkları (H&E),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Beceri: ,,,,,,,,,,,,,,,,,,
"Dönem 2 Dikey Koridor II Dikey Koridor IIUygulamaları; Aydınlatılmış Onam Alma, Hastane Enfeksiyonlarının Kontrolü, Oksijen Maskesi ,Ekip Olma ve Simüle Hasta Uygulamalarından oluşmaktadır. Tabloda * ile belirtilen tarihlerde uygulama yapılacaktır. Uygulama grupları ve uygulama salonları ayrı bir tablo ile duyurulacaktır.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
SİNİR-DUYU-1,,,,,,,,,,,,,,,,,,
Uygulama Adı,Uygulama Yeri,"1/1
13 Mart 2026 
Cuma
08:30-10:20","1/2
16 Mart 2026
 Pazartesi
08:30-10:20","1/3
17 Mart 2026
 Salı
08:30-10:20","1/4
18 Mart 2026
Çarşamba
8:30-10:20","1/5
24 Mart 2026 
Salı
08:30-10:20","1/6
30 Mart 2026
Pazartesi
08:30-10:20","1/7
31 Mart 2026 
Salı
08:30-10:20","1/8
1 Nisan 2026
Çarşamba
08:30-10:20","1/7
30 Mart 2026 
Pazartesi
10:30-12:20",,,,,,,,
Fizyoloji ,Fizyoloji Pratik salonu ,H,D,E,F,G,A,,C,B,,,,,,,,
Histoloji ,Histoloji Pratik salonu,D,E,F,G,A,B,C,H,,,,,,,,,
Dikey Koridor II,Web Sitesinde Yayınlanacak,* , *,,*, *,*,*,*,,,,,,,,,
Uygulama Adı,Uygulama Yeri,"2/1
2 Nisan 2026
 Perşembe
08:30-10:20","2/2
3 Nisan 2026
 Cuma
08:30-10:20","2/3
6 Nisan 2026 
Pazartesi
08.30-10.20","2/4
7 Nisan 2026 
Salı
08:30-10:20","2/5
8 Nisan 2026
Çarşamba
08:30-10:20","2/6
9 Nisan 2026
Perşembe
8:30-10:20","2/7
10 Nisan 2026
 Cuma
08:30-10:20","2/8
13 Nisan 2026
Pazartesi
08:30-10:20",,,,,,,,,
Fizyoloji ,Fizyoloji Pratik Salonu,A,B,C,D,E,F,G,H,,,,,,,,,
Histoloji ,Histoloji Pratik Salonu,B,C,D,E,F,G,H,A,,,,,,,,,
Dikey Koridor II,Web Sitesinde Yayınlanacak, *,*,*, *,*,*,*,*,,,,,,,,,
Uygulama Adı,Uygulama Yeri,"3/1
14 Nisan 2026 
Salı
08:30-10:20","3/2
15 Nisan 2026
Çarşamba
08:30-10:20","3/3
16 Nisan 2026 Perşembe
08:30-10:20","3/4
17 Nisan 2026
 Cuma
08:30-10:20","3/5
21 Nisan 2026 
Salı
08:30-10:20","3/6
22 Nisan 2026
Çarşamba
08:30-10:20","3/7
27 Nisan 2026
Pazartesi
08:30-10:20","3/8
28 Nisan 2026 
Salı
08:30-10:20",,,,,,,,,
Fizyoloji ,Fizyoloji Pratik Salonu,A,B,C,D,E,F,G,H,,,,,,,,,
Dikey Koridor II,Web Sitesinde Yayınlanacak, *,* ,*, *, *,* ,* ,* ,,,,,,,,,
Fizyoloji ,AMFİ,"TÜM GRUPLAR
17 Nisan 2026 
Cuma
10:30 - 12:20",,,,,,,,,,,,,,,,
Dikey Koridor II,Web Sitesinde Yayınlanacak, *,*,,,,,,,,,,,,,,,
Anatomi (17),Anabilim Dalı,17.02.2026,19.02.2026,24.02.2026,26.02.2026,03.03.2026,10.03.2026,12.03.2026,17.03.2026,24.03.2026,26.03.2026,31.03.2026,02.04.2026,07.04.2026,09.04.2026,14.04.2026,21.04.2026,28.04.2026
,,,,,,,,,,,,,,,,,,
Fizyoloji-1,,,,,,,,,,,,,,,,,,
Göz modelinde görüntünün incelenmesi,,,,,,,,,,,,,,,,,,
İnsanda göz dibinin incelenmesi ,,,,,,,,,,,,,,,,,,
Purkinje damar figürünün araştırılması,,,,,,,,,,,,,,,,,,
Görme alanının incelenmesi ,,,,,,,,,,,,,,,,,,
Fizyoloji-2 ,,,,,,,,,,,,,,,,,,
Görme keskinliği ,,,,,,,,,,,,,,,,,,
Hacimli görme ,,,,,,,,,,,,,,,,,,
Renk körlüğünün araştırılması ,,,,,,,,,,,,,,,,,,
Orta kulak fonksiyonlarının araştırılması ,,,,,,,,,,,,,,,,,,
Fizyoloji-3,,,,,,,,,,,,,,,,,,
İnsanda bazı reflekslerin araştırılması ,,,,,,,,,,,,,,,,,,
İnsanda reaksiyon zamanının saptanması ,,,,,,,,,,,,,,,,,,
İnsanda tahmini reaksiyon zamanının saptanması ,,,,,,,,,,,,,,,,,,
"Sinirde Şiddet-Süre Eğrisinin Çizilmesi, Reobaz,  Kronaksi Tayini ",,,,,,,,,,,,,,,,,,
Fizyoloji-4,,,,,,,,,,,,,,,,,,
"İnsanda elektroensefalogram ve uyarılmış potansiyel kayıpları (EEG, GUP, İUP)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Histoloji-1,,,,,,,,,,,,,,,,,,
"Cerebrum, beyin – Piramidal hücreler (Cajal)",,,,,,,,,,,,,,,,,,
Astrositler (Golgi) ,,,,,,,,,,,,,,,,,,
Plexus chorioideus (H&E),,,,,,,,,,,,,,,,,,
"Cerebellum, beyincik (H&E) ",,,,,,,,,,,,,,,,,,
"Omurilik, Medulla spinalis (Kresylechtviolett) ",,,,,,,,,,,,,,,,,,
Spinal ganglion (Kresylechtviolett),,,,,,,,,,,,,,,,,,
Histoloji-2,,,,,,,,,,,,,,,,,,
Periferik sinir (Masson),,,,,,,,,,,,,,,,,,
Sinir lifleri (Osmik asit),,,,,,,,,,,,,,,,,,
Vater Pacini (H&E),,,,,,,,,,,,,,,,,,
Göz (H&E),,,,,,,,,,,,,,,,,,
Tat Goncaları (H&E),,,,,,,,,,,,,,,,,,
Kılsız Deri (Van Gieson),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Beceri: ,,,,,,,,,,,,,,,,,,
"Dönem 2 Dikey Koridor II Dikey Koridor IIUygulamaları; Aydınlatılmış Onam Alma, Hastane Enfeksiyonlarının Kontrolü, Oksijen Maskesi ,Ekip Olma ve Simüle Hasta Uygulamalarından oluşmaktadır. Tabloda * ile belirtilen tarihlerde uygulama yapılacaktır. Uygulama grupları ve uygulama salonları ayrı bir tablo ile duyurulacaktır.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
PATOLOJİLERE VE KLİNİĞE GİRİŞ,,,,,,,,,,,,,,,,,,
Uygulama Adı,Uygulama Yeri,"08 Mayıs 2026 Cuma
10:30-12:20","11 Mayıs 2026 
Pazartesi
8:30-10:20","13 Mayıs 2026
Çarşamba
10:30-12:20","15 Mayıs 2026 Cuma
8:30-10:20","18 Mayıs 2026
 Pazartesi
8:30-10:20","20 Mayıs 2026 Çarşamba
10:30-12:20","21 Mayıs 2026 Perşembe
10:30-12:20","22 Mayıs 2026 Cuma
8:30-10:20","1 Haziran 2026
Pazartesi
08:30-10:20","1 Haziran 2026
Pazartesi
10:30-12:20","2 Haziran 2026 
Salı
08:30-10:20","2 Haziran 2026 Salı
10:30-12:20",,,,,
Patoloji (2),Patoloji Pratik salonu,"ABCD
1/1",-,-,-,"EFGH
1/2",-,"ABCD
2/1",-,-,-,"EFGH
2/2",-,,,,,
Mikrobiyoloji (3),Mikrobiyoloji Pratik salonu,"GH
1/3","CD
1/3","AB
1/3","CD
2/3","AB
2/3","EF
1/3","GH
2/3","EF
2/3","CD
3/3","GH
3/3","AB
3/3","EF
3/3",,,,,
Dikey Koridor II,Web Sitesinde Yayınlanacak,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Patoloji-1,,,,,,,,,,,,,,,,,,
Tümör dışı lezyonlar.,,,,,,,,,,,,,,,,,,
Patoloji-2,,,,,,,,,,,,,,,,,,
Benign ve Malign tümörler.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Tıbbi Mikrobiyoloji-1 ,,,,,,,,,,,,,,,,,,
Gram-pozitif bakterilerin izolasyonu ve tanısı,,,,,,,,,,,,,,,,,,
1. Kültür koşulları,,,,,,,,,,,,,,,,,,
2. Mikroskobik inceleme,,,,,,,,,,,,,,,,,,
3. Biyokimyasal özelliklerin incelenmesi,,,,,,,,,,,,,,,,,,
4. Antijen yapısının incelenmesi,,,,,,,,,,,,,,,,,,
Tıbbi Mikrobiyoloji-2,,,,,,,,,,,,,,,,,,
Gram-negatif bakterilerin izolasyonu ve tanısı,,,,,,,,,,,,,,,,,,
1. Kültür koşulları,,,,,,,,,,,,,,,,,,
2. Mikroskobik inceleme,,,,,,,,,,,,,,,,,,
3. Biyokimyasal özelliklerin incelenmesi,,,,,,,,,,,,,,,,,,
4. Antijen yapısının incelenmesi,,,,,,,,,,,,,,,,,,
Tıbbi Mikrobiyoloji-3,,,,,,,,,,,,,,,,,,
Hastane infeksiyonlarının kontrolünde mikrobiyoloji laboratuvarının etkinlikleri,,,,,,,,,,,,,,,,,,
